"x" "y" "z" "id" "obsy" "times"
"1" -5 0 0.1 1 -4.60479578112427 0
"2" -4.96480730467388 0.584719646354399 0.106380836131041 1 -5.14568439890255 0.125
"3" -4.85114554933607 1.23647739317585 0.113164168932162 1 -5.99829831491131 0.25
"4" -4.656455799606 1.8820888387326 0.120374775687567 1 -7.49594226194754 0.375
"5" -4.38525650941369 2.4520597849597 0.128038878633249 1 -5.86290231957704 0.5
"6" -4.04279954457683 2.99322232565533 0.136184218631462 1 -3.40539012823995 0.625
"7" -3.63941753334638 3.48327631178889 0.144840131170102 1 -3.89981602593487 0.75
"8" -3.17777051504927 3.91055468982956 0.154037624547746 1 -1.56735533124757 0.875
"9" -2.67115561911244 4.17253763223906 0.163809460064183 1 -2.8234449652016 1
"10" -2.13543313384215 4.39309692921189 0.174190233989722 1 -3.42501534157451 1.125
"11" -1.5685529070159 4.62468036483948 0.185216461033792 1 -2.39416141801066 1.25
"12" -0.982537758652146 4.77818025324268 0.196926658973867 1 -0.986654723612317 1.375
"13" -0.382088764850612 4.80548102715276 0.209361434038902 1 -1.5490638310663 1.5
"14" 0.219137744410412 4.77938229604592 0.222563566566767 1 -0.402113650646284 1.625
"15" 0.809468710436507 4.68693428572564 0.236578096371962 1 0.973624900508513 1.75
"16" 1.38491841179935 4.50773991808792 0.25145240716769 1 2.14917813832128 1.875
"17" 1.93332269810329 4.25090634383299 0.267236309284641 1 2.65282490080178 2
"18" 2.44320860535213 3.89369689793197 0.283982119817127 1 3.2864601602937 2.125
"19" 2.9137065268705 3.6082964739112 0.301744739205189 1 3.91251493069459 2.25
"20" 3.33670612699054 3.16306554189187 0.320581723128674 1 3.29362858584393 2.375
"21" 3.70697298238623 2.72579182806737 0.340553348446074 1 4.31249630257776 2.5
"22" 4.02167206870901 2.32412926067518 0.361722671757124 1 4.13105203950249 2.625
"23" 4.27898815083484 1.81037987833686 0.384155579004259 1 3.72665892667273 2.75
"24" 4.47442712050222 1.30190518189444 0.407920824354686 1 4.37832869775369 2.875
"25" 4.60552641105546 0.765534582456194 0.433090056423036 1 5.37570673658214 3
"26" 4.6652521927769 0.220361874093578 0.459737829705973 1 3.42762522354509 3.125
"27" 4.659924632653 -0.330893258339223 0.48794159890663 1 5.05644629709065 3.25
"28" 4.58728442682812 -0.813929808540705 0.517781693631125 1 5.69765033743578 3.375
"29" 4.46011815784795 -1.2630577297124 0.549341270744868 1 5.26462799915975 3.5
"30" 4.27525324107529 -1.72102849742491 0.582706241487226 1 3.93611706188615 3.625
"31" 4.03645132771271 -2.10440991865757 0.617965170264186 1 3.83256574077481 3.75
"32" 3.74522378798834 -2.56046629097501 0.6552091418761 1 3.98224953985667 3.875
"33" 3.4044341707994 -2.88892130938852 0.694531593798294 1 2.52753938131913 4
"34" 3.02537163455858 -3.15560114798936 0.736028110024469 1 2.0395439736798 4.125
"35" 2.61720133177941 -3.36323857316123 0.779796172915482 1 3.86300720982203 4.25
"36" 2.18327117787609 -3.53671251710519 0.825934869479828 1 0.528407085773334 4.375
"37" 1.73455441303389 -3.64899138683911 0.874544548558061 1 2.3408939766117 4.5
"38" 1.27843901183499 -3.64929403015994 0.925726425504075 1 0.509328959791676 4.625
"39" 0.822582713258589 -3.58179953658499 0.979582131164497 1 -0.685911857467644 4.75
"40" 0.38530469732382 -3.43858656781265 1.0362132022672 1 0.035016593387433 4.875
"41" -0.0383366602132622 -3.30608683391371 1.09572051075484 1 -0.0389503198087809 5
"42" -0.441489179684659 -3.13773685454578 1.15820363015265 1 -0.499012536237483 5.125
"43" -0.817280991893117 -2.84858222484603 1.2237601377543 1 -0.982791272512178 5.25
