"V1" "V2" "V3" "V4" "V5"
1011 0 -0.0652874394212878 0.124745305399784 1.6
1011 0.263157894736842 0.011649940698847 0.0972944794697909 1.4
1011 0.526315789473684 0.0922795975221923 0.0200688044239464 1.6
1011 0.789473684210526 0.158670418850141 -0.0240181856509456 1.6
1011 1.05263157894737 0.229607721897602 -0.0663029706518912 1.8
1011 1.31578947368421 0.261512485782978 -0.137397610396301 1.4
1011 1.57894736842105 0.268709080518208 -0.141416553930313 1.6
1011 1.84210526315789 0.281065355520444 -0.167715447338648 1.8
1011 2.10526315789474 0.261875707516046 -0.132038779237892 1.2
1011 2.36842105263158 0.198964472512861 -0.123967593025508 1.2
1011 2.63157894736842 0.130786635727899 -0.0848295646637889 1.4
1011 2.89473684210526 0.0721591454736334 -0.0356929489622492 1.2
1011 3.15789473684211 -0.0451588975641844 0.0326125338608572 1.4
1011 3.42105263157895 -0.120859722003538 0.0624287834809086 1.2
1011 3.68421052631579 -0.196354731024695 0.108996507920718 2.4
1011 3.94736842105263 -0.228863503310215 0.141436015909807 1.2
1011 4.21052631578947 -0.263875433699857 0.176950368054411 2
1011 4.47368421052632 -0.308683907869477 0.144195265010398 3.6
1011 4.73684210526316 -0.242958817230864 0.13052051741705 2.6
1011 5 -0.218669166144268 0.0898565243305942 2.4
1011 5.26315789473684 -0.157436792153114 0.0215926958468245 2.2
1011 5.52631578947368 -0.121422203810273 -0.0385893000958515 2
1011 5.78947368421053 -0.0578028213801931 -0.0959485660287997 1.8
1011 6.05263157894737 0.0357697036990822 -0.134181844729601 2
1011 6.31578947368421 0.134297251432384 -0.175169821254529 1.6
1011 6.57894736842105 0.194284906573581 -0.163018177757698 2
1011 6.84210526315789 0.259035989224742 -0.148982962312231 1.4
1011 7.10526315789474 0.287251569515936 -0.12136651964331 1.6
1011 7.36842105263158 0.310942852784984 -0.0689426848392546 1.8
1011 7.63157894736842 0.297908782953086 -0.0183943596515981 1.2
1011 7.89473684210526 0.269024946413987 0.0356234375212597 1.6
1011 8.1578947368421 0.210328947642409 0.0725365891328855 1.8
1011 8.42105263157895 0.132669802449288 0.113724448322612 1.8
1011 8.68421052631579 0.0452741013228984 0.140685556604101 2.6
1011 8.94736842105263 -0.0318946225467723 0.148465955678931 1.6
1011 9.21052631578947 -0.100742554813654 0.128461905388591 2.8
1011 9.47368421052632 -0.185083186240091 0.13037515543198 2
1011 9.73684210526316 -0.232845165382316 0.0671515811372167 2.2
1011 10 -0.254718110532559 0.00243603751323272 2
