"id" "time_L" "lat" "shock.L"
1 13 1 -4.28367711490071
1 48 2 3.51890981261465
1 42 2 3.51890981261465
2 42 1 4.28367711490071
2 10 2 -3.51890981261465
2 30 2 -3.51890981261465
3 17 1 -4.28367711490071
3 6 2 -3.51890981261465
3 47 1 -4.28367711490071
4 45 2 3.51890981261465
4 14 2 3.51890981261465
4 55 2 -3.51890981261465
5 43 1 4.28367711490071
5 18 1 -4.28367711490071
5 52 2 -3.51890981261465
6 11 1 4.28367711490071
6 13 1 -4.28367711490071
6 28 1 -4.28367711490071
7 7 1 -4.28367711490071
7 32 2 3.51890981261465
7 35 1 4.28367711490071
8 5 2 -3.51890981261465
8 57 1 4.28367711490071
8 4 1 4.28367711490071
9 53 1 -4.28367711490071
9 54 2 -3.51890981261465
9 7 2 -3.51890981261465
10 42 1 -4.28367711490071
10 33 1 -4.28367711490071
10 20 1 4.28367711490071
11 26 2 3.51890981261465
11 50 2 -3.51890981261465
11 21 1 4.28367711490071
12 16 1 4.28367711490071
12 48 2 -3.51890981261465
12 22 2 3.51890981261465
13 46 2 -3.51890981261465
13 51 1 -4.28367711490071
13 4 1 4.28367711490071
14 46 2 -3.51890981261465
14 47 2 3.51890981261465
14 50 1 4.28367711490071
15 34 1 -4.28367711490071
15 9 2 3.51890981261465
15 51 2 3.51890981261465
16 44 1 -4.28367711490071
16 50 1 4.28367711490071
16 18 1 4.28367711490071
17 28 2 3.51890981261465
17 53 1 -4.28367711490071
17 12 2 3.51890981261465
18 21 2 3.51890981261465
18 41 2 -3.51890981261465
18 10 2 -3.51890981261465
19 31 2 -3.51890981261465
19 8 1 4.28367711490071
19 40 2 -3.51890981261465
20 31 2 -3.51890981261465
20 50 2 3.51890981261465
20 29 1 4.28367711490071
21 50 2 3.51890981261465
21 11 1 -4.28367711490071
21 38 2 3.51890981261465
22 10 1 -4.28367711490071
22 55 2 3.51890981261465
22 21 2 -3.51890981261465
23 34 2 -3.51890981261465
23 27 1 4.28367711490071
23 38 2 3.51890981261465
24 31 2 3.51890981261465
24 27 2 3.51890981261465
24 36 2 -3.51890981261465
25 31 2 3.51890981261465
25 5 1 -4.28367711490071
25 37 1 -4.28367711490071
26 18 2 -3.51890981261465
26 10 1 4.28367711490071
26 28 1 4.28367711490071
27 12 2 -3.51890981261465
27 40 2 3.51890981261465
27 49 1 4.28367711490071
28 29 1 -4.28367711490071
28 9 1 -4.28367711490071
28 22 1 4.28367711490071
29 34 1 4.28367711490071
29 36 1 4.28367711490071
29 7 1 4.28367711490071
30 42 2 3.51890981261465
30 14 2 -3.51890981261465
30 47 2 -3.51890981261465
31 45 1 4.28367711490071
